Time,S_H,E_H,E_TH,E_NT,I_H,I_QH,D_H
250,0.7616,0.0113,0.001,0.1263,0.0172,0.0038,0.003
251,0.7616,0.0113,0.001,0.1263,0.0172,0.0038,0.0029
252,0.7616,0.0113,0.001,0.1263,0.0172,0.0038,0.0029
253,0.7616,0.0113,0.001,0.1263,0.0172,0.0038,0.0029
254,0.7616,0.0113,0.001,0.1263,0.0172,0.0038,0.0029
255,0.7617,0.0113,0.001,0.1263,0.0172,0.0038,0.0029
256,0.7617,0.0113,0.001,0.1263,0.0172,0.0038,0.0028
257,0.7617,0.0113,0.001,0.1263,0.0172,0.0038,0.0028
258,0.7617,0.0113,0.001,0.1263,0.0172,0.0038,0.0028
259,0.7617,0.0113,0.001,0.1263,0.0172,0.0038,0.0028
260,0.7617,0.0113,0.001,0.1263,0.0172,0.0038,0.0028
261,0.7617,0.0113,0.001,0.1263,0.0172,0.0038,0.0027
262,0.7617,0.0113,0.001,0.1263,0.0172,0.0038,0.0027
263,0.7617,0.0113,0.001,0.1263,0.0172,0.0038,0.0027
264,0.7617,0.0113,0.001,0.1263,0.0172,0.0038,0.0027
265,0.7617,0.0113,0.001,0.1263,0.0172,0.0038,0.0027
266,0.7617,0.0113,0.001,0.1263,0.0172,0.0038,0.0027
267,0.7617,0.0113,0.001,0.1263,0.0172,0.0038,0.0027
268,0.7617,0.0113,0.001,0.1263,0.0172,0.0038,0.0026
269,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0026
270,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0026
271,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0026
272,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0026
273,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0026
274,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0026
275,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0026
276,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0026
277,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0025
278,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0025
279,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0025
280,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0025
281,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0025
282,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0025
283,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0025
284,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0025
285,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0025
286,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0025
287,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0025
288,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0024
289,0.7618,0.0113,0.001,0.1263,0.0172,0.0038,0.0024
290,0.7619,0.0113,0.001,0.1263,0.0172,0.0038,0.0024
291,0.7619,0.0113,0.001,0.1263,0.0172,0.0038,0.0024
292,0.7619,0.0113,0.001,0.1263,0.0172,0.0038,0.0024
293,0.7619,0.0113,0.001,0.1263,0.0172,0.0038,0.0024
294,0.7619,0.0113,0.001,0.1263,0.0172,0.0038,0.0024
295,0.7619,0.0113,0.001,0.1263,0.0172,0.0038,0.0024
296,0.7619,0.0113,0.001,0.1263,0.0172,0.0038,0.0024
297,0.7619,0.0113,0.001,0.1263,0.0172,0.0038,0.0024
298,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0024
299,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0024
300,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0024
301,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0024
302,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0024
303,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0024
304,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0024
305,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0024
306,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
307,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
308,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
309,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
310,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
311,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
312,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
313,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
314,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
315,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
316,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
317,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
318,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
319,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
320,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
321,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
322,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
323,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
324,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
325,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
326,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
327,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
328,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
329,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
330,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
